Date,Description,Amount,Type
2025-09-07,Medical Store,1150,Debit
2025-09-15,Medical Store,1122,Debit
2025-09-12,Miscellaneous,2384,Debit
2025-10-30,Stock Purchase,45019,Credit
2025-10-22,Doctor Consultation,1317,Debit
2025-10-05,Flipkart Order,903,Debit
2025-10-19,Domino's,1329,Debit
2025-10-22,Mutual Fund Investment,27045,Credit
2025-09-06,Stock Purchase,21254,Credit
2025-10-07,Mutual Fund Investment,23685,Credit
2025-10-24,Metro Card Recharge,2784,Debit
2025-10-08,Project Bonus,45355,Credit
2025-09-27,Metro Card Recharge,2016,Debit
2025-09-13,Metro Card Recharge,2422,Debit
2025-09-20,Miscellaneous,1202,Debit
2025-09-14,Doctor Consultation,637,Debit
2025-10-20,BookMyShow Tickets,785,Debit
2025-10-22,Uber Ride,2016,Debit
2025-09-25,Netflix Subscription,851,Debit
2025-09-09,Metro Card Recharge,2761,Debit
2025-09-02,Local Store,2915,Debit
2025-09-14,Medical Store,2970,Debit
2025-10-16,Salary from XYZ Pvt Ltd,28761,Credit
2025-09-05,Medical Store,2657,Debit
2025-10-08,Donation,2255,Debit
2025-10-02,Stock Purchase,21389,Credit
2025-09-07,Mutual Fund Investment,24774,Credit
2025-10-27,BookMyShow Tickets,1304,Debit
2025-10-23,Stock Purchase,46371,Credit
2025-09-18,Miscellaneous,1347,Debit
2025-09-20,Electricity Bill,527,Debit
2025-10-20,Swiggy Meal,1846,Debit
2025-10-25,Cafe Coffee Day,1722,Debit
2025-09-07,Netflix Subscription,715,Debit
2025-10-17,Amazon Purchase,1619,Debit
2025-10-18,Myntra Shopping,1531,Debit
2025-10-13,Local Store,340,Debit
2025-09-09,Petrol Pump,659,Debit
2025-10-08,Electricity Bill,649,Debit
2025-09-16,Donation,1628,Debit
